RandomEmployee{lastName='HOCHSTETTER', firstName='MERCEDES', hoursWorked=32, rateDouble='9.278868153149268', idNum=1, age=25, sex=female, nickName='MERCEDES', numDependents='4', grossPay='296.9237809007766', overTime='false'}
RandomEmployee{lastName='MATLOCK', firstName='MARION', hoursWorked=23, rateDouble='20.533761205506483', idNum=31, age=29, sex=male, nickName='MARION', numDependents='1', grossPay='472.27650772664913', overTime='false'}
RandomEmployee{lastName='VINNING', firstName='LAKISHA', hoursWorked=65, rateDouble='2.2999706739613286', idNum=32, age=53, sex=female, nickName='LAKISHA', numDependents='4', grossPay='149.49809380748636', overTime='true'}
RandomEmployee{lastName='THONG', firstName='JULIAN', hoursWorked=20, rateDouble='16.058739320111464', idNum=33, age=20, sex=male, nickName='JULIAN', numDependents='4', grossPay='321.1747864022293', overTime='false'}
RandomEmployee{lastName='LANDINGHAM', firstName='GROVER', hoursWorked=55, rateDouble='10.082988004914466', idNum=34, age=60, sex=male, nickName='GROVER', numDependents='0', grossPay='554.5643402702956', overTime='true'}
RandomEmployee{lastName='BEAUVAIS', firstName='MARCOS', hoursWorked=48, rateDouble='25.58321991220704', idNum=35, age=20, sex=male, nickName='MARCOS', numDependents='3', grossPay='1227.9945557859378', overTime='true'}
RandomEmployee{lastName='BUCKSON', firstName='JONAH', hoursWorked=48, rateDouble='18.416907358902378', idNum=36, age=60, sex=male, nickName='JONAH', numDependents='1', grossPay='884.0115532273142', overTime='true'}
RandomEmployee{lastName='GUION', firstName='MARIANNE', hoursWorked=64, rateDouble='15.054897058762418', idNum=37, age=52, sex=female, nickName='MARIANNE', numDependents='2', grossPay='963.5134117607947', overTime='true'}
RandomEmployee{lastName='ZIKE', firstName='KAYE', hoursWorked=53, rateDouble='8.59972217298906', idNum=38, age=53, sex=female, nickName='KAYE', numDependents='4', grossPay='455.7852751684201', overTime='true'}
RandomEmployee{lastName='BAUSCH', firstName='BECKY', hoursWorked=51, rateDouble='10.030352273384395', idNum=39, age=34, sex=female, nickName='BECKY', numDependents='3', grossPay='511.54796594260415', overTime='true'}
RandomEmployee{lastName='WITASZEK', firstName='ROD', hoursWorked=67, rateDouble='3.2800540543029575', idNum=40, age=22, sex=male, nickName='ROD', numDependents='2', grossPay='219.76362163829816', overTime='true'}
RandomEmployee{lastName='KUSKO', firstName='DAN', hoursWorked=75, rateDouble='8.505129160012944', idNum=41, age=52, sex=male, nickName='DAN', numDependents='5', grossPay='637.8846870009708', overTime='true'}
RandomEmployee{lastName='EMANUEL', firstName='EMILIA', hoursWorked=28, rateDouble='1.0359702096473347', idNum=42, age=38, sex=female, nickName='EMILIA', numDependents='3', grossPay='29.00716587012537', overTime='false'}
RandomEmployee{lastName='SMITHERMAN', firstName='CASEY', hoursWorked=36, rateDouble='2.12834560318128', idNum=43, age=47, sex=female, nickName='CASEY', numDependents='2', grossPay='76.62044171452608', overTime='false'}
RandomEmployee{lastName='GENNETTE', firstName='RAFAEL', hoursWorked=28, rateDouble='19.159433525417377', idNum=44, age=20, sex=male, nickName='RAFAEL', numDependents='3', grossPay='536.4641387116866', overTime='false'}
RandomEmployee{lastName='MAGNAN', firstName='HILARY', hoursWorked=50, rateDouble='20.293878714620416', idNum=45, age=23, sex=female, nickName='HILARY', numDependents='2', grossPay='1014.6939357310208', overTime='true'}
RandomEmployee{lastName='CIPOLLONE', firstName='MORGAN', hoursWorked=33, rateDouble='1.6310910901780098', idNum=46, age=24, sex=female, nickName='MORGAN', numDependents='5', grossPay='53.826005975874324', overTime='false'}
RandomEmployee{lastName='UNGERLAND', firstName='LUELLA', hoursWorked=44, rateDouble='11.233949390175546', idNum=47, age=20, sex=female, nickName='LUELLA', numDependents='2', grossPay='494.293773167724', overTime='true'}
RandomEmployee{lastName='MASCARENA', firstName='ISABELL', hoursWorked=72, rateDouble='6.3257744653792125', idNum=48, age=64, sex=female, nickName='ISABELL', numDependents='0', grossPay='455.4557615073033', overTime='true'}
RandomEmployee{lastName='MCGLORY', firstName='RENE', hoursWorked=66, rateDouble='19.968458562269834', idNum=49, age=49, sex=female, nickName='RENE', numDependents='2', grossPay='1317.918265109809', overTime='true'}
RandomEmployee{lastName='DELGATTO', firstName='BRIDGETTE', hoursWorked=50, rateDouble='1.1385045600766577', idNum=50, age=22, sex=female, nickName='BRIDGETTE', numDependents='4', grossPay='56.925228003832885', overTime='true'}
RandomEmployee{lastName='LOKKER', firstName='JESS', hoursWorked=38, rateDouble='14.784746038674713', idNum=51, age=33, sex=male, nickName='JESS', numDependents='1', grossPay='561.8203494696392', overTime='false'}
RandomEmployee{lastName='ALLGEYER', firstName='ALANA', hoursWorked=31, rateDouble='22.963951769610564', idNum=52, age=36, sex=female, nickName='ALANA', numDependents='4', grossPay='711.8825048579274', overTime='false'}
RandomEmployee{lastName='DINSMORE', firstName='HELENE', hoursWorked=69, rateDouble='1.8374404591826479', idNum=53, age=59, sex=female, nickName='HELENE', numDependents='5', grossPay='126.7833916836027', overTime='true'}
RandomEmployee{lastName='KORNBLUM', firstName='ANTHONY', hoursWorked=64, rateDouble='11.29921858507141', idNum=54, age=35, sex=male, nickName='ANTHONY', numDependents='5', grossPay='723.1499894445702', overTime='true'}
RandomEmployee{lastName='SCHROTT', firstName='SHON', hoursWorked=38, rateDouble='1.4669051928832406', idNum=55, age=34, sex=male, nickName='SHON', numDependents='4', grossPay='55.74239732956315', overTime='false'}
RandomEmployee{lastName='TORRENCE', firstName='MERLE', hoursWorked=54, rateDouble='19.670473386473414', idNum=56, age=33, sex=male, nickName='MERLE', numDependents='2', grossPay='1062.2055628695643', overTime='true'}
RandomEmployee{lastName='PACO', firstName='GUILLERMO', hoursWorked=54, rateDouble='14.93727367560068', idNum=57, age=29, sex=male, nickName='GUILLERMO', numDependents='4', grossPay='806.6127784824367', overTime='true'}
RandomEmployee{lastName='TOALSON', firstName='GERMAINE', hoursWorked=37, rateDouble='8.108387734200882', idNum=58, age=25, sex=female, nickName='GERMAINE', numDependents='2', grossPay='300.0103461654326', overTime='false'}
RandomEmployee{lastName='CHIRINOS', firstName='LIZZIE', hoursWorked=31, rateDouble='11.491405072459381', idNum=59, age=48, sex=female, nickName='LIZZIE', numDependents='0', grossPay='356.2335572462408', overTime='false'}
RandomEmployee{lastName='MCQUOWN', firstName='TED', hoursWorked=62, rateDouble='3.5154771725277776', idNum=60, age=48, sex=male, nickName='TED', numDependents='5', grossPay='217.9595846967222', overTime='true'}
RandomEmployee{lastName='KEETS', firstName='EMILE', hoursWorked=51, rateDouble='12.910093587692854', idNum=61, age=34, sex=male, nickName='EMILE', numDependents='0', grossPay='658.4147729723355', overTime='true'}
RandomEmployee{lastName='DEANGELUS', firstName='CHRISTY', hoursWorked=30, rateDouble='6.9803724901331154', idNum=62, age=30, sex=female, nickName='CHRISTY', numDependents='5', grossPay='209.41117470399345', overTime='false'}
RandomEmployee{lastName='PAPPS', firstName='TRENTON', hoursWorked=54, rateDouble='21.14667416625945', idNum=63, age=51, sex=male, nickName='TRENTON', numDependents='2', grossPay='1141.9204049780103', overTime='true'}
RandomEmployee{lastName='FLORY', firstName='TREY', hoursWorked=58, rateDouble='2.8997143124094755', idNum=64, age=44, sex=male, nickName='TREY', numDependents='2', grossPay='168.18343011974957', overTime='true'}
RandomEmployee{lastName='MCELWAIN', firstName='PORFIRIO', hoursWorked=70, rateDouble='24.085696195254844', idNum=65, age=47, sex=male, nickName='PORFIRIO', numDependents='4', grossPay='1685.9987336678391', overTime='true'}
RandomEmployee{lastName='HAMAN', firstName='RICKEY', hoursWorked=46, rateDouble='9.167760260820769', idNum=66, age=42, sex=male, nickName='RICKEY', numDependents='4', grossPay='421.71697199775537', overTime='true'}
RandomEmployee{lastName='BLATTNER', firstName='BERNADINE', hoursWorked=66, rateDouble='25.04563540893468', idNum=67, age=42, sex=female, nickName='BERNADINE', numDependents='3', grossPay='1653.0119369896888', overTime='true'}
RandomEmployee{lastName='FALTIN', firstName='WELDON', hoursWorked=60, rateDouble='25.68698291795667', idNum=68, age=51, sex=male, nickName='WELDON', numDependents='0', grossPay='1541.2189750774', overTime='true'}
RandomEmployee{lastName='MCGARRELL', firstName='BRIDGET', hoursWorked=53, rateDouble='23.310641551188066', idNum=69, age=27, sex=female, nickName='BRIDGET', numDependents='5', grossPay='1235.4640022129674', overTime='true'}
RandomEmployee{lastName='MOALLANKAMP', firstName='REINALDO', hoursWorked=42, rateDouble='15.039828703758717', idNum=70, age=23, sex=male, nickName='REINALDO', numDependents='2', grossPay='631.6728055578661', overTime='true'}
RandomEmployee{lastName='LOA', firstName='MAYNARD', hoursWorked=66, rateDouble='25.735117176784836', idNum=71, age=59, sex=male, nickName='MAYNARD', numDependents='4', grossPay='1698.5177336677991', overTime='true'}
RandomEmployee{lastName='KATZENBERGER', firstName='TOBY', hoursWorked=27, rateDouble='9.342484082514238', idNum=72, age=52, sex=male, nickName='TOBY', numDependents='2', grossPay='252.24707022788442', overTime='false'}
RandomEmployee{lastName='CULLIP', firstName='HANS', hoursWorked=21, rateDouble='18.317459985218523', idNum=73, age=18, sex=male, nickName='HANS', numDependents='0', grossPay='384.666659689589', overTime='false'}
RandomEmployee{lastName='BRUN', firstName='REYNA', hoursWorked=23, rateDouble='6.075910088029559', idNum=74, age=29, sex=female, nickName='REYNA', numDependents='5', grossPay='139.74593202467986', overTime='false'}
RandomEmployee{lastName='LULIC', firstName='IRA', hoursWorked=26, rateDouble='21.585591062056622', idNum=75, age=41, sex=male, nickName='IRA', numDependents='5', grossPay='561.2253676134721', overTime='false'}
RandomEmployee{lastName='BENS', firstName='SEBASTIAN', hoursWorked=25, rateDouble='18.057561956135416', idNum=76, age=64, sex=male, nickName='SEBASTIAN', numDependents='5', grossPay='451.4390489033854', overTime='false'}
RandomEmployee{lastName='HACHER', firstName='ERROL', hoursWorked=57, rateDouble='19.676922803990177', idNum=77, age=46, sex=male, nickName='ERROL', numDependents='0', grossPay='1121.5845998274401', overTime='true'}
RandomEmployee{lastName='SARNO', firstName='AVIS', hoursWorked=39, rateDouble='3.6791307861452287', idNum=78, age=41, sex=female, nickName='AVIS', numDependents='2', grossPay='143.48610065966392', overTime='false'}
RandomEmployee{lastName='RITCHHART', firstName='LIONEL', hoursWorked=39, rateDouble='15.129222555039153', idNum=79, age=56, sex=male, nickName='LIONEL', numDependents='5', grossPay='590.0396796465269', overTime='false'}
RandomEmployee{lastName='HIDROGO', firstName='ALEXANDER', hoursWorked=71, rateDouble='23.09130849951294', idNum=80, age=54, sex=male, nickName='ALEXANDER', numDependents='3', grossPay='1639.4829034654188', overTime='true'}
RandomEmployee{lastName='WANG', firstName='ROSCOE', hoursWorked=60, rateDouble='19.626355261548337', idNum=81, age=32, sex=male, nickName='ROSCOE', numDependents='3', grossPay='1177.5813156929003', overTime='true'}
RandomEmployee{lastName='WOOLS', firstName='MEREDITH', hoursWorked=68, rateDouble='19.165989650012126', idNum=82, age=60, sex=female, nickName='MEREDITH', numDependents='3', grossPay='1303.2872962008246', overTime='true'}
RandomEmployee{lastName='RUSCONI', firstName='ELEANORE', hoursWorked=36, rateDouble='20.264185838712397', idNum=83, age=64, sex=female, nickName='ELEANORE', numDependents='1', grossPay='729.5106901936463', overTime='false'}
RandomEmployee{lastName='MCCREADIE', firstName='JAVIER', hoursWorked=38, rateDouble='8.809488335630185', idNum=84, age=25, sex=male, nickName='JAVIER', numDependents='0', grossPay='334.760556753947', overTime='false'}
RandomEmployee{lastName='ACCOMANDO', firstName='FRANCIS', hoursWorked=22, rateDouble='11.316953668612182', idNum=85, age=60, sex=female, nickName='FRANCIS', numDependents='1', grossPay='248.972980709468', overTime='false'}
RandomEmployee{lastName='URMENETA', firstName='FANNY', hoursWorked=24, rateDouble='15.537255137227847', idNum=86, age=43, sex=female, nickName='FANNY', numDependents='3', grossPay='372.89412329346834', overTime='false'}
RandomEmployee{lastName='CASKEY', firstName='KATHI', hoursWorked=72, rateDouble='2.993226031333159', idNum=87, age=46, sex=female, nickName='KATHI', numDependents='2', grossPay='215.51227425598745', overTime='true'}
RandomEmployee{lastName='SLUDER', firstName='FLOYD', hoursWorked=73, rateDouble='3.1512656608160596', idNum=88, age=54, sex=male, nickName='FLOYD', numDependents='4', grossPay='230.04239323957236', overTime='true'}
RandomEmployee{lastName='DUNDLOW', firstName='ALEX', hoursWorked=51, rateDouble='11.273077170335734', idNum=89, age=60, sex=male, nickName='ALEX', numDependents='0', grossPay='574.9269356871224', overTime='true'}
RandomEmployee{lastName='TUSSEY', firstName='OCTAVIA', hoursWorked=59, rateDouble='7.8856320897854815', idNum=90, age=24, sex=female, nickName='OCTAVIA', numDependents='4', grossPay='465.2522932973434', overTime='true'}
RandomEmployee{lastName='JAKUBCZAK', firstName='OREN', hoursWorked=52, rateDouble='21.614422875682152', idNum=91, age=19, sex=male, nickName='OREN', numDependents='2', grossPay='1123.949989535472', overTime='true'}
RandomEmployee{lastName='ZWANZIG', firstName='JOHNNY', hoursWorked=68, rateDouble='12.504188820458713', idNum=92, age=35, sex=male, nickName='JOHNNY', numDependents='0', grossPay='850.2848397911926', overTime='true'}
RandomEmployee{lastName='SPOFFORD', firstName='JANET', hoursWorked=50, rateDouble='4.106484070330723', idNum=93, age=19, sex=female, nickName='JANET', numDependents='1', grossPay='205.32420351653613', overTime='true'}
RandomEmployee{lastName='PARFITT', firstName='GRANT', hoursWorked=60, rateDouble='10.54568529570959', idNum=94, age=26, sex=male, nickName='GRANT', numDependents='0', grossPay='632.7411177425754', overTime='true'}
RandomEmployee{lastName='NEWFIELD', firstName='ROSALYN', hoursWorked=70, rateDouble='13.532141259266465', idNum=95, age=40, sex=female, nickName='ROSALYN', numDependents='3', grossPay='947.2498881486525', overTime='true'}
RandomEmployee{lastName='PHANTHANOUVON', firstName='MAI', hoursWorked=36, rateDouble='22.217912089623162', idNum=96, age=51, sex=female, nickName='MAI', numDependents='4', grossPay='799.8448352264338', overTime='false'}
RandomEmployee{lastName='JOOR', firstName='EVA', hoursWorked=30, rateDouble='9.77848118174086', idNum=97, age=33, sex=female, nickName='EVA', numDependents='3', grossPay='293.3544354522258', overTime='false'}
RandomEmployee{lastName='GUITTEREZ', firstName='TRUDY', hoursWorked=41, rateDouble='20.341476137370815', idNum=98, age=25, sex=female, nickName='TRUDY', numDependents='1', grossPay='834.0005216322035', overTime='true'}
RandomEmployee{lastName='GLOTZBECKER', firstName='MAE', hoursWorked=62, rateDouble='7.1061227504654845', idNum=99, age=20, sex=female, nickName='MAE', numDependents='3', grossPay='440.57961052886003', overTime='true'}
RandomEmployee{lastName='SCHONERT', firstName='NITA', hoursWorked=42, rateDouble='5.237119018259977', idNum=100, age=55, sex=female, nickName='NITA', numDependents='0', grossPay='219.95899876691905', overTime='true'}
RandomEmployee{lastName='REGINA', firstName='COLLIN', hoursWorked=32, rateDouble='4.9529536617023044', idNum=101, age=38, sex=male, nickName='COLLIN', numDependents='0', grossPay='158.49451717447374', overTime='false'}
RandomEmployee{lastName='GONZALE', firstName='DELIA', hoursWorked=53, rateDouble='6.537386977280639', idNum=102, age=29, sex=female, nickName='DELIA', numDependents='5', grossPay='346.4815097958739', overTime='true'}
RandomEmployee{lastName='HEINEMEYER', firstName='BRUCE', hoursWorked=60, rateDouble='18.206694780482305', idNum=103, age=47, sex=male, nickName='BRUCE', numDependents='3', grossPay='1092.4016868289384', overTime='true'}
RandomEmployee{lastName='ANNUNZIATA', firstName='SHELLIE', hoursWorked=58, rateDouble='12.584112166353574', idNum=104, age=28, sex=female, nickName='SHELLIE', numDependents='5', grossPay='729.8785056485073', overTime='true'}
RandomEmployee{lastName='GIRST', firstName='LEONARD', hoursWorked=77, rateDouble='11.23324548636049', idNum=105, age=49, sex=male, nickName='LEONARD', numDependents='3', grossPay='864.9599024497577', overTime='true'}
RandomEmployee{lastName='GRAMES', firstName='PATRICIA', hoursWorked=29, rateDouble='9.347598712074591', idNum=106, age=40, sex=female, nickName='PATRICIA', numDependents='2', grossPay='271.0803626501631', overTime='false'}
RandomEmployee{lastName='CILANO', firstName='BERNARD', hoursWorked=59, rateDouble='22.394064508340318', idNum=107, age=21, sex=male, nickName='BERNARD', numDependents='5', grossPay='1321.2498059920788', overTime='true'}
RandomEmployee{lastName='BUMBALOUGH', firstName='DYLAN', hoursWorked=54, rateDouble='25.67154755853581', idNum=108, age=58, sex=male, nickName='DYLAN', numDependents='3', grossPay='1386.2635681609338', overTime='true'}
RandomEmployee{lastName='PUPO', firstName='MAUREEN', hoursWorked=54, rateDouble='19.32585858157161', idNum=109, age=54, sex=female, nickName='MAUREEN', numDependents='4', grossPay='1043.596363404867', overTime='true'}
RandomEmployee{lastName='GORDIN', firstName='FERMIN', hoursWorked=76, rateDouble='5.109694096575697', idNum=110, age=29, sex=male, nickName='FERMIN', numDependents='1', grossPay='388.336751339753', overTime='true'}
RandomEmployee{lastName='NERBY', firstName='GASTON', hoursWorked=36, rateDouble='24.88966673447085', idNum=111, age=30, sex=male, nickName='GASTON', numDependents='4', grossPay='896.0280024409506', overTime='false'}
RandomEmployee{lastName='DOKKEN', firstName='GAYLE', hoursWorked=39, rateDouble='6.675772909313465', idNum=112, age=43, sex=female, nickName='GAYLE', numDependents='1', grossPay='260.35514346322515', overTime='false'}
RandomEmployee{lastName='SCHAEDLER', firstName='CASANDRA', hoursWorked=31, rateDouble='24.423939835136398', idNum=113, age=60, sex=female, nickName='CASANDRA', numDependents='2', grossPay='757.1421348892284', overTime='false'}
RandomEmployee{lastName='SUMABAT', firstName='DARYL', hoursWorked=38, rateDouble='2.47785245491093', idNum=114, age=41, sex=male, nickName='DARYL', numDependents='1', grossPay='94.15839328661535', overTime='false'}
RandomEmployee{lastName='EASTHAM', firstName='MONTE', hoursWorked=78, rateDouble='6.7575301061638635', idNum=115, age=63, sex=male, nickName='MONTE', numDependents='3', grossPay='527.0873482807814', overTime='true'}
RandomEmployee{lastName='DRENNON', firstName='NADINE', hoursWorked=63, rateDouble='14.451244036880553', idNum=116, age=45, sex=female, nickName='NADINE', numDependents='2', grossPay='910.4283743234748', overTime='true'}
RandomEmployee{lastName='DEMARSE', firstName='AHMED', hoursWorked=53, rateDouble='4.353522329313829', idNum=117, age=64, sex=male, nickName='AHMED', numDependents='5', grossPay='230.73668345363296', overTime='true'}
RandomEmployee{lastName='WENGREEN', firstName='AUGUSTA', hoursWorked=69, rateDouble='15.241101861314576', idNum=118, age=23, sex=female, nickName='AUGUSTA', numDependents='4', grossPay='1051.6360284307057', overTime='true'}
RandomEmployee{lastName='MASSIAH', firstName='WILMER', hoursWorked=27, rateDouble='6.963639734859763', idNum=119, age=37, sex=male, nickName='WILMER', numDependents='0', grossPay='188.0182728412136', overTime='false'}
RandomEmployee{lastName='CALDER', firstName='CARY', hoursWorked=31, rateDouble='9.716487643625182', idNum=120, age=48, sex=male, nickName='CARY', numDependents='4', grossPay='301.2111169523807', overTime='false'}
RandomEmployee{lastName='BEECH', firstName='ROSALIE', hoursWorked=55, rateDouble='3.275496911249422', idNum=121, age=32, sex=female, nickName='ROSALIE', numDependents='1', grossPay='180.15233011871823', overTime='true'}
RandomEmployee{lastName='WILDERMUTH', firstName='DELORIS', hoursWorked=66, rateDouble='13.622108377429756', idNum=122, age=37, sex=female, nickName='DELORIS', numDependents='5', grossPay='899.0591529103639', overTime='true'}
RandomEmployee{lastName='GIANINO', firstName='JEREMY', hoursWorked=21, rateDouble='6.231253949296319', idNum=123, age=30, sex=male, nickName='JEREMY', numDependents='0', grossPay='130.8563329352227', overTime='false'}
RandomEmployee{lastName='ARDOIN', firstName='VALENTINE', hoursWorked=27, rateDouble='4.49207538181171', idNum=124, age=52, sex=male, nickName='VALENTINE', numDependents='2', grossPay='121.28603530891617', overTime='false'}
RandomEmployee{lastName='FRICKS', firstName='RUDOLF', hoursWorked=55, rateDouble='14.98627168563362', idNum=125, age=36, sex=male, nickName='RUDOLF', numDependents='0', grossPay='824.244942709849', overTime='true'}
RandomEmployee{lastName='BOULERICE', firstName='EARNEST', hoursWorked=70, rateDouble='12.161958556722801', idNum=126, age=49, sex=male, nickName='EARNEST', numDependents='2', grossPay='851.3370989705961', overTime='true'}
RandomEmployee{lastName='TODARO', firstName='MARI', hoursWorked=53, rateDouble='9.860152745695224', idNum=127, age=22, sex=female, nickName='MARI', numDependents='5', grossPay='522.5880955218469', overTime='true'}
RandomEmployee{lastName='TRAN', firstName='SUZANNE', hoursWorked=77, rateDouble='17.021083901805945', idNum=128, age=54, sex=female, nickName='SUZANNE', numDependents='3', grossPay='1310.6234604390577', overTime='true'}
RandomEmployee{lastName='HENRIGUEZ', firstName='PATTI', hoursWorked=37, rateDouble='16.11009722360552', idNum=129, age=34, sex=female, nickName='PATTI', numDependents='1', grossPay='596.0735972734043', overTime='false'}
RandomEmployee{lastName='HARTIS', firstName='ED', hoursWorked=65, rateDouble='8.546409028621731', idNum=130, age=61, sex=male, nickName='ED', numDependents='5', grossPay='555.5165868604125', overTime='true'}
RandomEmployee{lastName='SATTAZAHN', firstName='LIONEL', hoursWorked=68, rateDouble='7.927781805731184', idNum=131, age=60, sex=male, nickName='LIONEL', numDependents='3', grossPay='539.0891627897205', overTime='true'}
RandomEmployee{lastName='PRZYBYSZEWSKI', firstName='ELWOOD', hoursWorked=65, rateDouble='24.652505615059574', idNum=132, age=18, sex=male, nickName='ELWOOD', numDependents='4', grossPay='1602.4128649788724', overTime='true'}
